segment_id,invocation_id,run_id,source_family,agent,mode,benchmark,role,tool,is_bash,segment_position,primary_category,categories,first_token,segment,source_path,source_line
1,1,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,1,file_read_navigation,file_read_navigation,ls,ls -la,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,2
2,1,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,2,file_read_navigation,file_read_navigation,pwd,pwd,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,2
3,1,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,3,shell_output_logging,shell_output_logging,echo,echo '---',evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,2
4,1,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,4,file_read_navigation,file_read_navigation,ls,ls -la audit,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,2
5,1,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,5,shell_output_logging,shell_output_logging,echo,echo '--- README',evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,2
6,1,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,6,file_read_navigation,file_read_navigation,sed,"sed -n '1,200p' audit/README.md",evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,2
7,2,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,1,environment_process,environment_process,set,set -e,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,4
8,2,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,2,file_read_navigation,file_read_navigation,pwd,pwd,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,4
9,2,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,3,file_read_navigation,file_read_navigation,ls,ls -la audit,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,4
10,2,evmbench_native_runs|yudai-minisweagent|detect|2023-07-pooltogether|2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect|2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a,evmbench_native_runs,yudai-minisweagent,detect,2023-07-pooltogether,,bash,True,4,file_read_navigation,file_read_navigation,ls,ls -la audit/claimer,evmBench-frontier-evals/project/evmbench/runs/2026-04-14T15-57-25-GMT_run-group_yudai-detect_detect/2023-07-pooltogether_8ac0d087-5a98-4d4a-9f12-5dc0f052538a/logs/yudai-minisweagent.traj.json,4
